2191,27.94, 49
Vazao | Tempo: 2192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 2532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 3032, Pulsos: 0, PWMooler: 4
3691,28.00, 49
Vazao | Tempo: 3691, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 4032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 4532, Pulsos: 0, PWMooler: 4
5191,28.00, 49
Vazao | Tempo: 5191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 5532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 6032, Pulsos: 0, PWMooler: 4
6691,28.00, 49
Vazao | Tempo: 6692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 7032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 7532, Pulsos: 0, PWMooler: 4
8191,28.00, 50
Vazao | Tempo: 8191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 8532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 9032, Pulsos: 0, PWMooler: 4
9691,28.00, 50
Vazao | Tempo: 9692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 10032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 10532, Pulsos: 0, PWMooler: 4
11191,28.00, 50
Vazao | Tempo: 11192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 11532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 12032, Pulsos: 0, PWMooler: 4
12691,28.00, 50
Vazao | Tempo: 12691, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 13032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 13532, Pulsos: 0, PWMooler: 4
14191,28.00, 51
Vazao | Tempo: 14191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 14532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 15032, Pulsos: 0, PWMooler: 4
15691,28.00, 51
Vazao | Tempo: 15692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 16032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 16532, Pulsos: 0, PWMooler: 4
17191,28.00, 51
Vazao | Tempo: 17192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 17532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 18032, Pulsos: 0, PWMooler: 4
18691,28.00, 51
Vazao | Tempo: 18691, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 19032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 19532, Pulsos: 0, PWMooler: 4
20191,28.06, 51
Vazao | Tempo: 20192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 20532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 21032, Pulsos: 0, PWMooler: 4
21691,28.06, 52
Vazao | Tempo: 21692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 22032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 22532, Pulsos: 0, PWMooler: 4
23191,28.06, 52
Vazao | Tempo: 23192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 23532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 24032, Pulsos: 0, PWMooler: 4
24691,28.06, 52
Vazao | Tempo: 24692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 25032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 25532, Pulsos: 0, PWMooler: 4
26191,28.06, 52
Vazao | Tempo: 26192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 26532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 27032, Pulsos: 0, PWMooler: 4
27691,28.06, 53
Vazao | Tempo: 27692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 28032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 28532, Pulsos: 0, PWMooler: 4
29191,28.06, 53
Vazao | Tempo: 29192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 29532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 30032, Pulsos: 0, PWMooler: 4
30691,28.12, 53
Vazao | Tempo: 30692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 31032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 31532, Pulsos: 0, PWMooler: 4
32191,28.12, 53
Vazao | Tempo: 32192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 32532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 33032, Pulsos: 0, PWMooler: 4
33691,28.12, 53
Vazao | Tempo: 33692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 34032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 34532, Pulsos: 0, PWMooler: 4
35191,28.12, 54
Vazao | Tempo: 35192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 35532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 36032, Pulsos: 0, PWMooler: 4
36691,28.19, 54
Vazao | Tempo: 36692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 37032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 37532, Pulsos: 0, PWMooler: 4
38191,28.19, 54
Vazao | Tempo: 38192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 38532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 39032, Pulsos: 0, PWMooler: 4
39691,28.19, 54
Vazao | Tempo: 39692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 40032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 40532, Pulsos: 0, PWMooler: 4
41191,28.19, 54
Vazao | Tempo: 41191, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 41532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 42032, Pulsos: 0, PWMooler: 4
42691,28.25, 54
Vazao | Tempo: 42691, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 43032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 43532, Pulsos: 0, PWMooler: 4
44191,28.25, 54
Vazao | Tempo: 44192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 44532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 45032, Pulsos: 0, PWMooler: 4
45691,28.25, 55
Vazao | Tempo: 45692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 46032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 46532, Pulsos: 0, PWMooler: 4
47191,28.25, 55
Vazao | Tempo: 47192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 47532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 48032, Pulsos: 0, PWMooler: 4
48691,28.31, 55
Vazao | Tempo: 48692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 49032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 49532, Pulsos: 0, PWMooler: 4
50191,28.31, 55
Vazao | Tempo: 50192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 50532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 51032, Pulsos: 0, PWMooler: 4
51691,28.31, 55
Vazao | Tempo: 51692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 52032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 52532, Pulsos: 0, PWMooler: 4
53191,28.38, 55
Vazao | Tempo: 53192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 53532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 54032, Pulsos: 0, PWMooler: 4
54691,28.38, 56
Vazao | Tempo: 54692, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 55032, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 55532, Pulsos: 0, PWMooler: 4
56191,28.38, 56
Vazao | Tempo: 56192, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 56532, Pulsos: 0, PWMooler: 4
Vazao | Tempo: 57032, Pulsos: 0, PWMooler: 4
